run,run_label,model,model_label,target,target_label,group,method,feature,feature_label,importance_mean,importance_std,rank,n_rows,n_tsids
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,shap,uv_in_avg,UV254,25.269092559814453,0.0,2,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,shap,br_in_avg,Bromide,20.502111434936523,0.0,3,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,shap,ph_in_avg,pH,9.308228492736816,0.0,4,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,shap,temp_in_avg,Temperature,6.6769118309021,0.0,5,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,permutation,toc_in_avg,TOC,74.6682482685879,10.663993781881786,1,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,permutation,br_in_avg,Bromide,7.410066501904194,4.323656683811214,2,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,permutation,uv_in_avg,UV254,0.5782711271187153,4.932302000835306,3,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,permutation,temp_in_avg,Temperature,-5.270338124985484,2.0032875729320265,4,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,permutation,ph_in_avg,pH,-13.504167243536301,5.682098910076324,5,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,shap,toc_in_avg,TOC,19.73102378845215,0.0,1,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,shap,br_in_avg,Bromide,18.718488693237305,0.0,2,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,shap,uv_in_avg,UV254,12.931720733642578,0.0,3,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,shap,temp_in_avg,Temperature,6.230518817901611,0.0,4,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,shap,ph_in_avg,pH,5.580698013305664,0.0,5,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,permutation,ph_in_avg,pH,3.141992934349709,1.6581401032347454,1,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,permutation,toc_in_avg,TOC,1.9542562724484132,3.062380078599861,2,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,permutation,uv_in_avg,UV254,-2.167331106093451,1.8076219158650786,3,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,permutation,temp_in_avg,Temperature,-2.8084279650179975,0.9859087798648328,4,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,permutation,br_in_avg,Bromide,-6.901711154678866,2.684667264853493,5,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,shap,br_in_avg,Bromide,8.868332862854004,0.0,1,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,shap,uv_in_avg,UV254,3.1811816692352295,0.0,2,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,shap,temp_in_avg,Temperature,2.1608495712280273,0.0,3,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,shap,ph_in_avg,pH,2.026573657989502,0.0,4,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,shap,toc_in_avg,TOC,1.2440698146820068,0.0,5,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,permutation,br_in_avg,Bromide,11.132975241782122,0.9494883331965348,1,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,permutation,uv_in_avg,UV254,3.8113035106721562,0.8031091585626968,2,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,permutation,temp_in_avg,Temperature,2.803759323333659,0.576081789571411,3,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,permutation,toc_in_avg,TOC,0.7924428663227822,0.24431171811434904,4,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,permutation,ph_in_avg,pH,0.05705554578811249,0.2838855151541267,5,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,shap,br_in_avg,Bromide,7.680908679962158,0.0,1,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,shap,temp_in_avg,Temperature,2.736651659011841,0.0,2,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,shap,uv_in_avg,UV254,1.6966917514801025,0.0,3,55,7
