Train: 141,  Test: 34
Features: 9,  Targets: 3
Optuna trials: 200,  CV folds: 5

[I 2026-03-01 22:33:26,922] Trial 30 finished with value: 0.4424395740032196 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.00524906207494854, 'weight_decay': 0.00019800952017728847, 'batch_size': 8}. Best is trial 30 with value: 0.4424395740032196.
[I 2026-03-01 22:33:28,806] Trial 31 finished with value: 0.44275847673416135 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.005447501845663944, 'weight_decay': 0.00014187252117633787, 'batch_size': 8}. Best is trial 30 with value: 0.4424395740032196.
[I 2026-03-01 22:33:30,663] Trial 32 finished with value: 0.4502756416797638 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.0032604805306934988, 'weight_decay': 0.00019414551236428368, 'batch_size': 8}. Best is trial 30 with value: 0.4424395740032196.
[I 2026-03-01 22:33:32,585] Trial 33 finished with value: 0.43868049383163454 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.005179091839709669, 'weight_decay': 0.0004060206247639283, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:34,084] Trial 34 finished with value: 0.46405099630355834 and parameters: {'n_layers': 1, 'hidden_dim': 8, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.005326235340654074, 'weight_decay': 0.00038925905884997956, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:34,999] Trial 35 finished with value: 0.4766560971736908 and parameters: {'n_layers': 0, 'lr': 0.0017211258504729434, 'weight_decay': 0.00046169335980078525, 'batch_size': 32}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:38,785] Trial 36 finished with value: 0.46179547905921936 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.00046800910823868025, 'weight_decay': 0.00014642133989061846, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:40,126] Trial 37 finished with value: 0.4427108883857727 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.4, 'activation': 'SiLU', 'lr': 0.0037222890127230337, 'weight_decay': 0.000741010310286185, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:44,654] Trial 38 finished with value: 0.5145062625408172 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.5, 'activation': 'LeakyReLU', 'lr': 0.00027883569672177967, 'weight_decay': 0.000319574183251235, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:47,064] Trial 39 finished with value: 0.4791836142539978 and parameters: {'n_layers': 2, 'hidden_dim': 16, 'dropout': 0.4, 'activation': 'SiLU', 'lr': 0.0019198243094475252, 'weight_decay': 0.000933069868552254, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
