condition,condition_label,seed,model,model_label,target,target_key,target_label,feature,feature_label,mean_abs_shap,rank,n_train,n_test
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,1.6569423414039233,4,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,1.1377296940269452,5,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,0.9911223377478281,6,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,8.685607297662482,1,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,cl2d_in_avg,Cl₂ dose,4.890113992664787,2,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,1.8494060363048648,3,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,1.7880476121322926,4,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,0.5627837544359626,5,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,0.5214463794271703,6,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,cl2d_in_avg,Cl₂ dose,29.87950325012207,1,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,20.064634323120117,2,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,16.572744369506836,3,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,8.030576705932617,4,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,ph_in_avg,pH,4.161872386932373,5,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,3.2054619789123535,6,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,8.36944580078125,1,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,2.1435067653656006,2,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,1.759624719619751,3,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,1.4305123090744019,4,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,cl2d_in_avg,Cl₂ dose,1.2964228391647339,5,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.0192350149154663,6,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,8.632101058959961,1,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,cl2d_in_avg,Cl₂ dose,4.020895957946777,2,382,106
